{'arch': 'resnet18', 'checkpoint': './save/model_39.th', 'widen_factor': 1, 'batch_size': 128, 'lr': 0.2, 'nb_iter': 2000, 'print_every': 500, 'data_dir': '../data', 'val_frac': 0.01, 'output_dir': './save', 'trigger_info': './save/trigger_info.th', 'poison_type': 'benign', 'poison_target': 0, 'trigger_alpha': 1.0, 'anp_eps': 0.4, 'anp_steps': 1, 'anp_alpha': 0.2, 'dataset': 'cifar10', 'optimization_method': 'FO', 'zo_method': 'RGE', 'q': 192, 'mu': 0.005, 'model_type': 'AE_DS', 'encoder_arch': 'cifar_encoder_192_24_noise', 'decoder_arch': 'cifar_decoder_192_24_noise', 'classifier': '', 'pretrained_denoiser': '', 'pretrained_encoder': './trained_models/CIFAR-10/ZO_AE_DS_lr-3_q192_Coord/best_encoder.pth.tar', 'pretrained_decoder': './trained_models/CIFAR-10/ZO_AE_DS_lr-3_q192_Coord/best_decoder.pth.tar'}
Files already downloaded and verified
Files already downloaded and verified
Iter 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
500 	 0.200 	 325.9 	 0.5086 	 0.8413 	 0.0000 	 1.0000 	 0.4541 	 0.8521
1000 	 0.200 	 325.7 	 0.5091 	 0.8420 	 0.0000 	 1.0000 	 0.4594 	 0.8529
1500 	 0.200 	 325.5 	 0.5097 	 0.8407 	 0.0000 	 1.0000 	 0.4494 	 0.8543
2000 	 0.200 	 325.5 	 0.5078 	 0.8425 	 0.0000 	 1.0000 	 0.4590 	 0.8508
2500 	 0.200 	 325.6 	 0.5107 	 0.8428 	 0.0000 	 1.0000 	 0.4401 	 0.8564
3000 	 0.200 	 325.6 	 0.5128 	 0.8415 	 0.0000 	 1.0000 	 0.4557 	 0.8545
3500 	 0.200 	 325.6 	 0.5109 	 0.8406 	 0.0000 	 1.0000 	 0.4482 	 0.8556
4000 	 0.200 	 325.6 	 0.5179 	 0.8399 	 0.0000 	 1.0000 	 0.4552 	 0.8542
4500 	 0.200 	 325.6 	 0.5107 	 0.8407 	 0.0000 	 1.0000 	 0.4395 	 0.8582
5000 	 0.200 	 325.6 	 0.5103 	 0.8415 	 0.0000 	 1.0000 	 0.4538 	 0.8539
5500 	 0.200 	 325.6 	 0.5088 	 0.8427 	 0.0000 	 1.0000 	 0.4463 	 0.8569
6000 	 0.200 	 325.5 	 0.5146 	 0.8402 	 0.0000 	 1.0000 	 0.4525 	 0.8528
6500 	 0.200 	 325.5 	 0.5137 	 0.8407 	 0.0000 	 1.0000 	 0.4356 	 0.8587
7000 	 0.200 	 325.7 	 0.5078 	 0.8434 	 0.0000 	 1.0000 	 0.4495 	 0.8546
7500 	 0.200 	 325.7 	 0.5023 	 0.8444 	 0.0000 	 1.0000 	 0.4440 	 0.8545
8000 	 0.200 	 325.6 	 0.5097 	 0.8435 	 0.0000 	 1.0000 	 0.4411 	 0.8571
8500 	 0.200 	 325.7 	 0.5093 	 0.8414 	 0.0000 	 1.0000 	 0.4523 	 0.8545
9000 	 0.200 	 325.7 	 0.5084 	 0.8421 	 0.0000 	 1.0000 	 0.4479 	 0.8544
9500 	 0.200 	 325.6 	 0.5069 	 0.8427 	 0.0000 	 1.0000 	 0.4531 	 0.8544
10000 	 0.200 	 325.8 	 0.5116 	 0.8416 	 0.0000 	 1.0000 	 0.4471 	 0.8553
10500 	 0.200 	 325.6 	 0.5087 	 0.8418 	 0.0000 	 1.0000 	 0.4542 	 0.8557
11000 	 0.200 	 325.7 	 0.5163 	 0.8413 	 0.0000 	 1.0000 	 0.4620 	 0.8518
11500 	 0.200 	 325.7 	 0.5076 	 0.8430 	 0.0000 	 1.0000 	 0.4492 	 0.8565
12000 	 0.200 	 325.6 	 0.5141 	 0.8424 	 0.0000 	 1.0000 	 0.4444 	 0.8555
12500 	 0.200 	 325.8 	 0.5105 	 0.8433 	 0.0000 	 1.0000 	 0.4539 	 0.8535
13000 	 0.200 	 325.7 	 0.5024 	 0.8434 	 0.0000 	 1.0000 	 0.4563 	 0.8554
13500 	 0.200 	 325.8 	 0.5080 	 0.8422 	 0.0000 	 1.0000 	 0.4544 	 0.8544
14000 	 0.200 	 325.8 	 0.5087 	 0.8430 	 0.0000 	 1.0000 	 0.4448 	 0.8565
14500 	 0.200 	 325.8 	 0.5081 	 0.8427 	 0.0000 	 1.0000 	 0.4539 	 0.8540
15000 	 0.200 	 325.6 	 0.5097 	 0.8403 	 0.0000 	 1.0000 	 0.4534 	 0.8550
